,Comment,label
0,On his Own Lame jokes making the BLAST n OHHHHH behind......,0
1,CARRY KA AGLA VIDEO =KUNAL KAMARA ROAST,0
2,ഹിന്ദി അറിയില്ലെങ്കിലും യ്യി പൊളിയാ.. winking_face_with_tonguewinking_face_with_tongue tik tok hater from kerala,1
3,"I am really irritating that oOOHHHHHHHHH OOOOOHHHHHH sound khud phele roast sikhar aao 
Jao jakar tik tok bana",0
4,hats off to u if u still come here to watch this funny so called chutiya roasting shit,2
5,"Kunal ka political career nahi chalne ka nateejaa! 
You have hit the lowest point in your political career Bro.",1
6,Binod,1
7,DO NOT DO PROMOTION  OF  APPS,1
8,Anyone with little humor will understand ohhhhhh was sarcastic,0
9,Saaale ko 2 million dislikes mile hh ittne toh isske subscribers bhi nhii hhrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing,2
10,"Bhai, sirf oooohhhhh daal dene se roast nhi ho jata.",0
11,"Hindi me gaali dene waale lagte inhe fool, English mai gaali dene waale lagte cool haiface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy",0
12,Carry is just a teen boy.... don't say darinda,2
13,carry is best,0
14,Jhaatu kamra face_with_tears_of_joy,0
15,Congrats for 2.4 m face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy,0
16,"Lessons : 1. Don't trust China
2. Don't trust on US tooo.
3. Atmanirbhar bano",1
17,ab dislike dekhne me maza nhi ata sala no.of dislike to pta hi nhi chalte ..sorry kamra bro just chill face_with_tears_of_joyface_with_tears_of_joy,0
18,Hahahahhahaha more dislike than likes hahahahahahhhahahhahahahahahahahahahahahah batmizzzz,2
19,rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughinglove-you_gesturelove-you_gesturelove-you_gesturelove-you_gestureOK_hand,0
20,Oohh lagane se funny nhi hua woman_facepalmingwoman_facepalmingwoman_facepalmingi started hating kunal karam expressionless_face,1
21,"That original video of Supa hot fire shows about the man how he is overrating himself with the loud ohhhhhhh.
The same thing this cartoon is trying to do here",0
22,"congrats kunal for 2.5 M dislikes, i wish you will deserve more",0
