,Comment
468,thumbs_upthumbs_upthumbs_up
1251,I'm the only one who doesn't even got laugh at any moment woozy_face
1353,Binod
914,"He ruined that meme "" ohhhhhhh"" expressionless_face"
392,Vare takle rolling_on_the_floor_laughingrolling_on_the_floor_laughing
1750,अरे भाई ये जिंदा कैसै है face_with_symbols_on_mouthface_with_symbols_on_mouth
2116,Binod
1791,Know who said ki Kunal Kamra roasting main mujhra karta hai face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1820,"Abbe yrr kitni bezzati krrayega 2.3 million dislike ho gyeee 
10 million hi krra ke maanega aabe dllt krrde video bete face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1370,Ravish G k samne aane k liye BJP wale darte hain debate me.  Chaddy geeli hojati insabki
102,"Kamra bhai dislike count wapas dilvado, vote karunga AAP ya Congress ko, dw"
723,Ja beta pahle carry minati se roasting tips le ja a ...slightly_smiling_face
1018,Main to bas dislike Marne ayi thisface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1339,This was an epic end to kamra's career
650,Binod
1158,faisu got his soulmate! (only legend will get this)
1697,congo bhai 2Million dislikes ke liye ganje
403,"Iran-Ayatoullah Ali Khamenei as religious leader.

India-Carryminati, face_with_raised_eyebrowface_with_raised_eyebrowface_with_raised_eyebrow

sometimes Majority fucks"
343,"Kamra parents be like :
Khas hum us raat jaldi so jate to aj.....!!
"" OOOHHHHHHHHHH ""
face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1746,4:25rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing New Barbie Lund Editionrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1271,Desh drohi ravish kumar
213,#Agar #hum #kre #to #kre #kya #bole #to #bole #kya... #waah #modi #ji #waah... #pata #he #na #aap #sab #ko... #Nahi #pata #he... #Kaha #pata #he...
2032,I'm here after see that FB meme video rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
1937,"Lolllllllllll 
2.5 Million dislikes 
face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1358,Binod
1599,"To all of you who are not understanding *oooooooo* it's basically the voice of his fake lost soul telling him ""Yuo arre Syawage"""
887,Carryminati love you
104,Carry minati fan
1138,Wind energy pe lag ra official peeing human ajkal
441,"Once a legend said DUNIYA MC THI , MC HAI , MC RAHEGI  he just proved itface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1813,Issi tatti cheez mai aaj tak nhi dekha face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
271,Are you carry lover?
344,Came here to see dislikes after recent Kamra tweet rolling_on_the_floor_laughing
388,Who is here after 2 million dislike
752,Kunal u r good stand up comedian Lekin bhai wo carry h aur baap ko chodna ni sikhate face_with_tears_of_joy
1422,Still carry minati can get a flight ticket. Ohhhh!
144,Comment section is more funnier than video
1839,When you realize that dislikes are removed............rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing
170,Since he is banned from flying In Air lines he is now chool to take flying Arrow face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1307,"Faisu: I have the most disliked video in India
Kunal Kamra: Hold my career....."
1057,"This video is best example of taking Udta hua teer.
Cheel di dhng se. 
Boooo sheeee wale chahcharolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
777,"A famous man once said, ""Karma is a *****.""
I say, ""Kamra is a *****."""
452,Hi I am so glad you did that I have sent to your mom today to send you my notes today thanks bye thanks smiling_face_with_smiling_eyes bye love two_hearts bye thanks smiling_face_with_smiling_eyes bye love two_hearts bye thanks smiling_face_with_smiling_eyes thanks bye face_blowing_a_kiss f the best for all of you and I have been in a class class and all the same people in my family class I love them all I have sent for all
472,Dislikes will be more than kamra's subscribersface_with_tears_of_joy
1433,"डालना है तो सीजन 2 teasar डालो , बस वही घुमा फिरा के डाल रहे , 6 7 बार देख चुके यार । face_with_rolling_eyesface_with_rolling_eyes"
1752,"carry said: ""sometimes biggest achievements become an easy target to be pulled down.""

and i couldn't agree more! 
#welovecarry"
229,"Dislike is more than number of subscribers !! 
Ooooooooohhhhhhhhhhhhhhh"
47,"Govt. Teacher : what is your name ?
Kunal: My name is kunal kamra.
Govt. Teacher: toh bsdk terey baap ka naam eet hoga or maa ka cement
Whole class: ooooohhhhhhface_screaming_in_fear"
1389,"Andh Bhaks of Carry Triggered...
Roast yeh hota Hai Bhai sahab Gaali Gaaloch nahi..."
1305,Isko lagta hai isne roast kiya. face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
844,I stop watching this video and started reading Comment face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
312,Ya video likes ka lia thi ka dislikes ka lia. I am confused.thinking_face
2047,"Carry Minati after seeing this roast video be like:
Ye toh tatti hai. rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
640,Like se jyada comments face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
1703,Udta hua teer Kunal beta koi kmare chup kr lete to itni beizaati nahi hoti face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
426,Arey jail mei kyu ni h ye?
1134,"After disliking faisu's video 

carry fans:-

Ohh! Shit here we go again
face_with_tears_of_joyface_with_tears_of_joy"
253,"""""""Who found oxyzen and start breathing breathing randomly are real, real legends""""""heart_suitheart_suitIndia"
1757,"Not a single joke was carry related. 
The same can go for kunal chapra"
260,Is there a worst commentator compared to Sanjay Manjeraker ? Answer is Parthiv Patel..
1080,In this video Kunal's jokes are really really poorface_with_tears_of_joyat least take some time and write some vulgar word to roast someone (like what carry do) then you will be appreciated blindly by Indian young audiences (like carry)face_with_tears_of_joy
917,Dislike shouts more “ohhhh” than in ur videogrinning_face_with_big_eyes
248,"After watching this video, feels like Arnab Goswami was still tolerable."
589,Phat jaati hai bjp ki ravis ke samne aane ke liye
1463,Jitne inke videos pe views nhi hai utne Carry videos pe likes haiface_with_tears_of_joyheart_suitfire
1902,"""""""Who found oxyzen and start breathing breathing randomly are real, real legends""""""heart_suitheart_suitIndia"
71,Majdoor ko khodna and baap ko chodna nhi sikhate face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
510,Kuch points Sahi hai lakin Kuch chutiyapa laga
135,Yeha to sub apne bhai log he koi gaali wala he ke nahi
926,Roast kam  oohhhhhhhh rolling_on_the_floor_laughingrolling_on_the_floor_laughingsquinting_face_with_tongue
350,The most boring roasting I have ever watched! I have watched it and given this chutiya a view just because of carry!  Carry you’re best so far
1502,"Hindi me gaali dene waale lagte inhe fool, English mai gaali dene waale lagte cool haiface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
1379,"""Lund dhari barbie."", that line. face_with_tears_of_joyface_with_tears_of_joy I laughed for 19 sec, continously"
1335,Bhai rost meme plate laga ne se nahi hota kamaraface_with_tears_of_joyface_with_tears_of_joy
560,"If doing ""OOOOOO..... "" is roasting, than  my dog is better roaster than kunal.. rolling_on_the_floor_laughing"
